node_type,label,record_id,year,review_type,dominant_domain,dominant_loading,tsne_x,tsne_y,pca_x,pca_y,parent_domain
record,pubmed_10908542,pubmed_10908542,2000.0,systematic review,biological,0.3359,7.6173,2.6413732,14.263006,-17.99512,biological
record,pubmed_19160209,pubmed_19160209,2009.0,systematic review,biological,0.3364,7.6131983,2.6431136,14.496811,-18.032328,biological
record,pubmed_40170347,pubmed_40170347,2025.0,scoping or mapping review,psychological,0.3484,5.283283,2.1221023,9.998089,0.18137826,psychological
record,pubmed_28371175,pubmed_28371175,2017.0,narrative or expert review,biological,0.3477,5.31691,-1.3536426,9.786334,-2.7585354,biological
record,pubmed_35434749,pubmed_35434749,2022.0,narrative or expert review,biological,0.3577,1.5252914,3.1407013,7.611049,13.591715,biological
record,pubmed_7866373,pubmed_7866373,1994.0,narrative or expert review,psychological,0.3373,10.092138,-3.0923476,5.9606504,-2.4085648,psychological
record,pubmed_21373784,pubmed_21373784,2011.0,narrative or expert review,social,0.3384,7.111033,5.2178392,1.9140984,-12.091069,social
record,pubmed_38063895,pubmed_38063895,2024.0,narrative or expert review,biological,0.3458,0.029647173,4.684318,7.502286,5.363135,biological
record,pubmed_29460009,pubmed_29460009,2018.0,systematic review,biological,0.3427,9.937496,-0.66952527,17.109022,-8.8804245,biological
record,pubmed_20425201,pubmed_20425201,2010.0,narrative or expert review,biological,0.3538,-0.120763436,2.365418,4.9537497,17.017488,biological
record,pubmed_22102156,pubmed_22102156,2012.0,narrative or expert review,biological,0.3485,0.6577903,-7.075761,0.095813945,-0.71569586,biological
record,pubmed_36527589,pubmed_36527589,2023.0,narrative or expert review,psychological,0.3382,3.9346147,-0.31295094,6.624826,3.0406303,psychological
record,pubmed_28752491,pubmed_28752491,2017.0,systematic review,psychological,0.35,3.6663826,1.1358521,6.515275,1.243392,psychological
record,pubmed_33563380,pubmed_33563380,2021.0,narrative or expert review,biological,0.3599,-1.0542666,2.6200004,8.980032,11.721368,biological
record,pubmed_17350550,pubmed_17350550,2007.0,narrative or expert review,biological,0.3496,2.2295802,-0.8681053,8.8696785,2.979231,biological
record,pubmed_23218435,pubmed_23218435,2012.0,narrative or expert review,social,0.3502,8.242575,3.9441583,12.49057,-16.629108,social
record,pubmed_26096090,pubmed_26096090,2014.0,narrative or expert review,psychological,0.3497,0.29317638,-0.5336393,2.7045383,9.944275,psychological
record,pubmed_41271285,pubmed_41271285,2026.0,narrative or expert review,psychological,0.3474,1.9249187,-3.3643959,6.5181837,7.0245614,psychological
record,pubmed_30594766,pubmed_30594766,2019.0,narrative or expert review,biological,0.3495,9.015383,-2.952014,11.844184,-0.47987437,biological
record,pubmed_29729787,pubmed_29729787,2018.0,narrative or expert review,biological,0.3428,3.9745934,7.2487197,1.9929885,4.7787204,biological
record,WOS:000453643300005,WOS:000453643300005,,scoping or mapping review,social,0.3381,8.3112,-2.049866,12.093239,-14.064298,social
record,pubmed_27344405,pubmed_27344405,2016.0,narrative or expert review,psychological,0.3472,1.7773134,-1.6293421,2.3996751,9.464712,psychological
